x,y,r,thet
119.6037239,172.7196817,210.0884081,0.965139893
118.4814672,174.9287152,211.2768645,0.975459456
117.3428243,177.1356963,212.4768065,0.985721454
116.1878266,179.3403195,213.6879998,0.995925372
115.0165075,181.5422869,214.9102113,1.00607077
113.8289024,183.7413076,216.1432098,1.016157276
112.6250488,185.9370975,217.3867656,1.026184585
111.4049861,188.1293791,218.6406508,1.036152452
110.1687556,190.317881,219.9046397,1.046060692
108.9164004,192.5023384,221.1785083,1.055909175
107.6479651,194.682492,222.4620351,1.065697824
106.3634962,196.8580885,223.7550007,1.075426611
105.0630418,199.02888,225.0571879,1.085095556
103.7466514,201.1946241,226.3683822,1.094704721
102.4143761,203.3550835,227.6883712,1.104254211
101.0662685,205.5100256,229.0169454,1.113744168
99.70238263,207.6592232,230.3538975,1.123174771
98.3227738,209.8024532,231.6990229,1.132546234
96.92749874,211.9394974,233.0521198,1.141858801
95.51661546,214.0701416,234.4129888,1.151112746
94.09018325,216.1941761,235.7814334,1.16030837
92.64826265,218.311395,237.1572596,1.169446002
91.19091538,220.4215967,238.5402761,1.17852599
89.71820437,222.5245829,239.9302944,1.187548708
88.23019369,224.6201594,241.3271288,1.196514548
86.72694854,226.7081353,242.730596,1.20542392
85.20853522,228.7883233,244.1405156,1.214277254
83.67502112,230.8605394,245.5567099,1.223074993
82.12647467,232.9246026,246.9790038,1.231817593
80.56296535,234.9803354,248.4072249,1.240505526
78.98456366,237.027563,249.8412034,1.249139273
77.39134108,239.0661138,251.2807722,1.257719328
75.78337008,241.095819,252.7257666,1.266246192
74.16072411,243.1165123,254.1760247,1.274720374
72.52347753,245.1280304,255.6313871,1.283142393
70.87170565,247.1302126,257.0916969,1.291512772
69.2054847,249.1229005,258.5567997,1.29983204
67.5248918,251.1059384,260.0265434,1.308100731
65.83000495,253.0791728,261.5007787,1.316319384
64.12090303,255.0424528,262.9793583,1.324488538
62.39766578,256.9956294,264.4621376,1.332608738
60.6603738,258.9385563,265.9489742,1.340680528
58.9091085,260.8710889,267.4397279,1.348704455
57.14395212,262.7930849,268.934261,1.356681066
55.36498773,264.7044042,270.4324379,1.364610908
53.57229918,266.6049084,271.9341251,1.372494529
51.76597113,268.4944612,273.4391915,1.380332474
49.94608899,270.3729283,274.947508,1.388125288
48.11273899,272.2401771,276.4589476,1.395873515
46.26600807,274.096077,277.9733853,1.403577695
44.40598396,275.9404991,279.4906984,1.411238368
42.5327551,277.7733162,281.0107658,1.418856071
40.6464107,279.594403,282.5334686,1.426431335
38.74704068,281.4036356,284.0586898,1.433964692
36.83473566,283.2008919,285.5863143,1.441456669
34.90958699,284.9860516,287.1162288,1.448907787
32.97168671,286.7589956,288.6483218,1.456318566
31.02112756,288.5196067,290.1824836,1.463689522
29.05800296,290.2677691,291.7186064,1.471021164
27.08240701,292.0033684,293.2565838,1.478313999
25.09443447,293.7262919,294.7963114,1.485568529
23.09418078,295.4364283,296.3376863,1.492785251
21.08174202,297.1336675,297.8806073,1.499964658
19.05721492,298.8179011,299.4249747,1.507107235
17.02069686,300.489022,300.9706904,1.514213466
14.97228583,302.1469245,302.5176579,1.521283829
12.91208048,303.7915042,304.0657821,1.528318794
10.84018006,305.4226579,305.6149693,1.535318829
8.756684424,307.0402841,307.1651276,1.542284396
6.661694053,308.6442823,308.7161661,1.54921595
4.555310016,310.2345534,310.2679954,1.556113943
2.437633975,311.8109995,311.8205276,1.562978821
0.308768182,313.3735239,313.373676,1.569811023
-1.831184533,314.9220315,314.9273553,1.575625681
-3.982120766,316.4564279,316.4814814,1.582393832
-6.143936548,317.9766204,318.0359714,1.589130595
-8.316527347,319.4825173,319.5907438,1.59583639
-10.49978808,320.974028,321.145718,1.602511629
-12.6936131,322.4510633,322.700815,1.609156721
-14.89789626,323.913535,324.2559567,1.615772068
-17.11253082,325.3613561,325.811066,1.622358067
-19.33740955,326.7944409,327.3660673,1.628915111
-21.5724247,328.2127046,328.9208856,1.635443584
-23.81746797,329.6160639,330.4754474,1.64194387
-26.07243059,331.0044362,332.0296801,1.648416343
-28.33720325,332.3777404,333.5835119,1.654861376
-30.61167616,333.7358962,335.1368723,1.661279332
-32.89573903,335.0788248,336.6896916,1.667670574
-35.1892811,336.406448,338.2419012,1.674035457
-37.49219112,337.7186891,339.7934334,1.680374331
-39.80435735,339.0154724,341.3442213,1.686687541
-42.12566761,340.2967232,342.894199,1.692975429
-44.45600923,341.562368,344.4433016,1.699238331
-46.79526912,342.8123342,345.9914648,1.705476577
-49.1433337,344.0465504,347.5386253,1.711690493
-51.50008898,345.2649463,349.0847208,1.717880401
-53.86542051,346.4674525,350.6296895,1.724046618
-56.23921342,347.6540009,352.1734707,1.730189456
-58.62135241,348.8245242,353.7160043,1.736309222
-61.01172178,349.9789564,355.2572309,1.742406221
-63.41020537,351.1172322,356.7970921,1.748480749
-65.81668667,352.2392878,358.3355301,1.754533103
-68.23104873,353.34506,359.8724878,1.760563571
-70.65317421,354.434487,361.4079089,1.76657244
-73.0829454,355.5075078,362.9417377,1.77255999
-75.52024419,356.5640624,364.4739193,1.7785265
-77.9649521,357.604092,366.0043994,1.784472241
-80.41695028,358.6275389,367.5331244,1.790397485
-82.8761195,359.634346,369.0600412,1.796302494
-85.34234021,360.6244578,370.5850976,1.802187532
-87.81549246,361.5978193,372.1082419,1.808052854
-90.29545599,362.5543769,373.6294228,1.813898715
-92.78211018,363.4940777,375.1485899,1.819725364
-95.27533409,364.4168702,376.6656933,1.825533047
-97.77500643,365.3227034,378.1806837,1.831322005
